Cluster;RAJ2000;DEJ2000;GLON;GLAT;RV (km/s);pmRA (mas/yr);pmDE (mas/yr);Plx (mas)
M 5;15 18 33.22;02 04 51.7;38.587;467.963;53.8;4.06;-9.89;0.141 
M 53;13 12 55.25;18 10 05.4;332.962;797.641;-63.1;-0.11;-1.35;0.067
M 67;08 51 23.0;11 48 50;215.69;31.920;33.92;-10.97;-2.939;11.325
M 71;19 53 46.49;18 46 45.1;567.458;-45.644;-22.5;-3.41;-2.61;0.251
M 92;17 17 07.39;43 08 09.4;683.384;34.858;-4.935;-0.625;-120.7;0.112
NGC 1245;03 14 45.8;47 14 06;146.657;-8.926;-29.38;0.504;-1.579;0.289
NGC 1798;05 11 39.4;47 41 28;" 	160.7043";47 37 50;2.55;0.913; -0.318;0.178
NGC 188;00 47 11.5;85 14 38;1.228.368;223.730;-42.03;-23.087;-0.9565;" 	0.5053"
NGC 2243;" 	06 29 34.8";-31 16 55;" 	239.4780";-180.111;59.65;-1.279;5.488;" 	0.211"
NGC 2682;08 51 23.0;11 48 50;2.156.912;319.208;33.92;-109.737;-29.396;" 	1.1325"
NGC 4147;" 	12 10 06.149";18 32 31.78;252.847.939;77.188.723;179.1;-1.71; -2.10;" 	0.029"
NGC 5466;" 	14 05 27.29";28 32 04.0;4.215.023;7.359.225;106.9;-5.41;-0.79;0.057
NGC 6791;19 20 53.0;37 46 41;" 	069.9644";109.065;-47.75;-0.421;-2.269;" 	0.192"
NGC 6811;19 37 21.6;46 22 41;" 	079.2072";119.983;7.1;-3399;-8.812;0.870
NGC 7789;23 57 20.2;56 43 34;1.155.270;-53.659;-54.91;-0.922;-1.933;0.453
Pleiades;" 	03 46 24.2";24 06 50;" 	166.4628";-236.146;5.88;" 	19.997";-45.548;7.364
Teutsch 51;05 53 51.1;26 50 02;1.827.380;0.4804;17.13;0.545; -0.345;0.216
Mel13;02 18 57.8;57 08 02;" 	134.6257";-37.372;-38.9;-0.6943;-10.831;0.3942
Mel14;02 22 20.2;57 08 56;1.350.518;-35.683;-43.525;-0.6021;-10.616;0.3976
NGC 2532;08 10 15.1864372560;33 57 23.768999208;1.876.038.127.917.900;302.377.834.545.512;0.01750;;;
IC 2395;08 42 07.4;-48 05 24;2.665.794;-36.272;19.065;-4.464;3.293;1.379
NGC 2808;09 12 03.10;-64 51 48.6;28.219.303;-1.125.259;103.7;1.02;0.28;" 	0.112"
NGC 0104;" 	00 24 05.359";-72 04 53.20;305.895.333;-44.889.114;-17.2;5.25; -2.53;0.232
