,Cluster,k
0,NGC6218,1.5
1,NGC6093,1.0
2,NGC6388,1.0
3,NGC6522,1.5
4,NGC6254,1.0
5,NGC6293,1.0
6,NGC6441,0.8
7,NGC6541,1.0
8,NGC6624,1.5
9,NGC7078,1.5
10,NGC6656,1.5
11,NGC6681,1.5
12,NGC6752,1.5
13,NGC7089,1.5
14,NGC1261,2.0
15,NGC7099,2.0
16,IC1805,2.0
17,IC2944,1.5
18,NGC2244,1.5
19,NGC2362,1.0
20,NGC3293,1.8
21,NGC4755,1.8
22,NGC6193,3.1
23,Trumpler16,3.1
24,NGC6139,2.5
25,NGC6362,2.5
26,NGC6397,2.1
27,NGC6712,2.0
28,Pal13,1.5
