,Cluster,k
0,NGC2682,1.25
1,NGC6791,0.8
2,NGC6811,0.5
3,NGC6819,1.0
4,NGC7789,0.7
5,Pleiades,0.8
6,NGC869,1.2
7,NGC1662,1.2
8,Basel11B,1.2
9,NGC1528,1.35
10,NGC2252,1.0
11,Basel4,1.6
12,NGC1960,1.4
13,NGC6205,1.1
14,Waterloo2,1.2
15,Berkeley71,1.15
16,Berkeley53,1.15
17,IC166,1.15
18,King5,1.8
19,King7,1.32
20,M107,1.35
21,M13,1.5
22,M15,1.6
23,M2,1.65
24,M3,1.55
25,M5,1.65
26,NGC2099,1.45
27,NGC1746,1.2
28,NGC1039,1.6
